INFO  2016-06-01 14:54:06,292 68808ms Service1               ThreadFunction     - 0101200
INFO  2016-06-01 14:54:15,277 77794ms Service1               ThreadFunction     - error
INFO  2016-06-01 14:54:51,384 113900ms Service1               ThreadFunction     - 55AA01F09F11424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:54:53,989 116506ms InputData              InputCheckData     - data:55AA01F09F11424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:55:00,299 122816ms Service1               ThreadFunction     - success
INFO  2016-06-01 14:55:19,292 141809ms Service1               ThreadFunction     - 55AA01F09F11424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:55:19,297 141814ms InputData              InputCheckData     - data:55AA01F09F11424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:55:19,297 141814ms Service1               ThreadFunction     - success
INFO  2016-06-01 14:55:35,173 157690ms Service1               ThreadFunction     - 55AA01F09F12424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:55:35,176 157693ms InputData              InputCheckData     - data:55AA01F09F12424A333632350100FFFF00666F790F26311E1391AEFFFF001200FF030057480432FFFFF5
INFO  2016-06-01 14:55:35,177 157694ms Service1               ThreadFunction     - success
INFO  2016-06-01 17:58:07,389 11109906ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 17:58:07,397 11109914ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 17:58:07,398 11109915ms Service1               ThreadFunction     - success
INFO  2016-06-01 17:59:07,421 11169938ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 17:59:07,426 11169943ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 17:59:07,426 11169943ms Service1               ThreadFunction     - success
INFO  2016-06-01 18:03:22,241 11424758ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:03:22,246 11424763ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:03:22,246 11424763ms Service1               ThreadFunction     - success
INFO  2016-06-01 18:03:58,149 11460666ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:03:58,161 11460678ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:03:58,162 11460679ms Service1               ThreadFunction     - success
INFO  2016-06-01 18:05:02,094 11524611ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:02,099 11524616ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:02,099 11524616ms Service1               ThreadFunction     - success
INFO  2016-06-01 18:05:29,218 11551734ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:29,224 11551740ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:29,224 11551740ms Service1               ThreadFunction     - success
INFO  2016-06-01 18:05:34,706 11557223ms Service1               ThreadFunction     - 55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:34,711 11557228ms InputData              InputCheckData     - data:55AA0100003342313836363900000000040003FFFFFFFFFFFFFFFF0000000000FF040000000000000045
INFO  2016-06-01 18:05:34,711 11557228ms Service1               ThreadFunction     - success
